epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.58224,2.18402,6.19027,0.73,3.28828,2.13219,0.97901,0.97945,0.97416,0.56329,0.86947,0.86986,0.8361,0.16119,1.44374,4.49191,0.70406,2.30407,1.51004,0.00036,0.00036,0.00036
2,5.4215,1.48718,2.95097,0.70756,1.0487,1.33054,0.97908,0.97945,0.96316,0.65426,0.97908,0.97945,0.96316,0.68157,1.05,1.51073,0.61358,2.841,1.02635,0.000732674,0.000732674,0.000732674
3,8.04431,1.32765,2.20159,0.6773,0.95379,1.22491,0.83681,0.97945,0.97246,0.65483,0.83096,0.9726,0.96383,0.47181,1.28652,1.63763,0.52044,2.92657,1.22126,0.00109782,0.00109782,0.00109782
4,10.5116,1.24109,2.14881,0.64642,0.88674,1.20245,0.97822,0.97945,0.96053,0.59501,0.49253,0.49315,0.25073,0.03411,1.18412,2.97306,0.44814,1.57356,1.18798,0.00145545,0.00145545,0.00145545
5,13.0053,1.31448,1.57935,0.61022,0.81488,1.21621,0.96305,0.96575,0.94861,0.4419,0.97671,0.97945,0.96634,0.48924,1.63331,1.65375,0.38618,2.75024,1.52099,0.00180555,0.00180555,0.00180555
6,15.52,1.31242,1.77193,0.61372,0.88381,1.21626,0.66474,0.9726,0.93536,0.45055,0.66942,0.97945,0.94008,0.63067,1.21727,1.45523,0.39593,1.66331,1.09232,0.001901,0.001901,0.001901
7,18.068,1.1564,1.41967,0.57505,0.82715,1.17254,0.97812,0.97945,0.98101,0.70174,0.97812,0.97945,0.97413,0.69783,0.98828,1.29269,0.33421,1.02583,1.04177,0.0018812,0.0018812,0.0018812
8,20.7074,1.16553,1.44699,0.57095,0.79192,1.18883,0.97284,0.97945,0.96795,0.52695,0.90481,0.91096,0.86879,0.29704,1.50748,2.11639,0.26417,1.54888,1.42932,0.0018614,0.0018614,0.0018614
9,23.2291,1.07698,1.26432,0.54544,0.73051,1.12207,0.97799,0.97945,0.96732,0.80195,0.97799,0.97945,0.96572,0.81474,0.73696,0.89966,0.28249,0.7683,0.89736,0.0018416,0.0018416,0.0018416
10,25.8268,1.00796,1.28422,0.54801,0.71663,1.11821,0.97701,0.97945,0.97507,0.7967,0.97701,0.97945,0.9747,0.68346,0.77279,1.23958,0.23781,0.98578,0.91829,0.0018218,0.0018218,0.0018218
11,28.3485,0.94969,1.23594,0.50048,0.65906,1.05386,0.97729,0.97945,0.97402,0.80149,0.97729,0.97945,0.9713,0.80919,0.72656,0.88674,0.2451,0.83677,0.87547,0.001802,0.001802,0.001802
12,30.9194,0.92342,1.03344,0.53625,0.67674,1.06259,0.97908,0.97945,0.9628,0.81545,0.97908,0.97945,0.96081,0.79727,0.6908,0.83165,0.21709,0.51532,0.85539,0.0017822,0.0017822,0.0017822
13,33.3788,0.85872,1.08909,0.51538,0.59998,1.05865,0.97791,0.97945,0.96905,0.76553,0.97791,0.97945,0.96905,0.75589,0.71116,0.876,0.21132,0.71214,0.86203,0.0017624,0.0017624,0.0017624
14,35.8233,0.90956,0.88769,0.4948,0.61423,1.07884,0.98409,0.97945,0.97443,0.8155,0.98409,0.97945,0.97443,0.86545,0.64679,0.74384,0.22567,0.56379,0.82977,0.0017426,0.0017426,0.0017426
15,38.3978,0.84092,0.9234,0.48928,0.60842,1.03866,0.97812,0.97945,0.98099,0.87396,0.97812,0.97945,0.97632,0.86553,0.57734,0.7614,0.22394,0.49243,0.79975,0.0017228,0.0017228,0.0017228
16,40.9412,0.81435,0.97035,0.45069,0.60483,1.06471,0.97859,0.97945,0.98063,0.82488,0.97859,0.97945,0.97191,0.85656,0.66535,0.81095,0.20398,0.47493,0.83104,0.001703,0.001703,0.001703
17,43.4261,0.76837,0.6392,0.44638,0.559,0.97372,0.9785,0.97945,0.98299,0.88076,0.9785,0.97945,0.97408,0.86068,0.53489,0.81711,0.2158,0.42251,0.81484,0.0016832,0.0016832,0.0016832
18,45.9672,0.76358,0.88922,0.47488,0.53937,1.00715,0.97892,0.97945,0.98271,0.86844,0.97892,0.97945,0.97503,0.85624,0.52609,0.80023,0.21135,0.43665,0.81465,0.0016634,0.0016634,0.0016634
19,48.4844,0.75934,1.04016,0.43917,0.55743,1.00609,0.97898,0.97945,0.98126,0.85028,0.97898,0.97945,0.97548,0.85731,0.57063,0.76997,0.1887,0.43455,0.80325,0.0016436,0.0016436,0.0016436
20,50.9815,0.87242,0.94757,0.43433,0.61545,1.0738,0.97888,0.97945,0.99005,0.81537,0.97888,0.97945,0.97479,0.8327,0.7274,0.82882,0.20003,0.45605,0.87579,0.0016238,0.0016238,0.0016238
21,53.5051,0.83194,0.67074,0.41047,0.56672,1.04425,0.97895,0.97945,0.99247,0.843,0.97895,0.97945,0.97515,0.84962,0.66878,0.83707,0.1927,0.44405,0.82564,0.001604,0.001604,0.001604
22,56.0912,0.7893,0.89093,0.39305,0.5194,1.02352,0.97891,0.97945,0.99318,0.85921,0.97891,0.97945,0.97515,0.86777,0.59892,0.74807,0.19967,0.4119,0.82849,0.0015842,0.0015842,0.0015842
23,58.6071,0.74774,0.79631,0.40548,0.53554,0.98673,0.97925,0.97945,0.98797,0.85578,0.97925,0.97945,0.97581,0.86429,0.55308,0.74285,0.18855,0.38864,0.80508,0.0015644,0.0015644,0.0015644
24,61.0888,0.66153,0.7167,0.40334,0.49344,0.9561,0.98276,0.97945,0.98109,0.88579,0.98276,0.97945,0.97534,0.8606,0.50703,0.75073,0.19201,0.39235,0.78549,0.0015446,0.0015446,0.0015446
25,63.7225,0.65,0.62168,0.37062,0.47489,0.96659,0.98619,0.97841,0.98477,0.86675,0.98619,0.97841,0.97526,0.84991,0.55842,0.74132,0.18071,0.44074,0.77652,0.0015248,0.0015248,0.0015248
26,66.255,0.71629,0.70706,0.36119,0.51264,0.98395,0.98619,0.97793,0.9813,0.89,0.98619,0.97793,0.9754,0.85243,0.51519,0.74417,0.18313,0.42753,0.77148,0.001505,0.001505,0.001505
27,68.7555,0.72945,0.75263,0.35971,0.53585,0.9932,0.9871,0.96575,0.98699,0.88997,0.9871,0.96575,0.97594,0.85966,0.54012,0.75189,0.19041,0.39016,0.77935,0.0014852,0.0014852,0.0014852
28,71.4441,0.72216,0.75198,0.38312,0.50376,0.99207,0.97901,0.97945,0.99196,0.88902,0.97901,0.97945,0.97679,0.86473,0.52475,0.77342,0.16281,0.3697,0.8149,0.0014654,0.0014654,0.0014654
29,74.0619,0.75711,0.91704,0.34393,0.51851,1.02525,0.979,0.97945,0.99316,0.88906,0.979,0.97945,0.97793,0.87488,0.5346,0.73127,0.15298,0.3711,0.79344,0.0014456,0.0014456,0.0014456
30,76.6308,0.65755,0.65876,0.34295,0.45328,0.97451,0.97942,0.97945,0.99333,0.9064,0.97942,0.97945,0.97736,0.8729,0.4844,0.71654,0.14966,0.35338,0.75455,0.0014258,0.0014258,0.0014258
31,79.3383,0.63683,0.68657,0.33298,0.46054,0.97116,0.98041,0.97945,0.99317,0.91971,0.98041,0.97945,0.97942,0.87571,0.45921,0.72955,0.14946,0.34162,0.74919,0.001406,0.001406,0.001406
32,82.0657,0.65154,0.90946,0.34535,0.47429,0.96733,0.97958,0.98564,0.99386,0.90705,0.9789,0.97945,0.97982,0.86913,0.52897,0.71781,0.13997,0.37913,0.76814,0.0013862,0.0013862,0.0013862
33,84.5834,0.61361,0.76336,0.32981,0.43084,0.94214,0.97958,0.98583,0.99425,0.92643,0.97922,0.97945,0.98195,0.87911,0.43123,0.69991,0.13436,0.33875,0.73998,0.0013664,0.0013664,0.0013664
34,87.1692,0.55854,0.85053,0.31062,0.4357,0.94396,0.97879,0.97945,0.99343,0.92329,0.97879,0.97945,0.97761,0.87494,0.38643,0.69798,0.13169,0.30027,0.72192,0.0013466,0.0013466,0.0013466
35,89.6863,0.65915,0.81849,0.32855,0.46691,0.95215,0.97866,0.97945,0.99367,0.8991,0.97866,0.97945,0.97662,0.87204,0.49122,0.73188,0.15196,0.31992,0.75006,0.0013268,0.0013268,0.0013268
36,92.2191,0.62715,0.64306,0.28619,0.44523,0.95518,0.97865,0.97945,0.99373,0.92197,0.97865,0.97945,0.98031,0.88613,0.48218,0.69751,0.13089,0.32936,0.75748,0.001307,0.001307,0.001307
37,94.8065,0.56959,0.7151,0.30365,0.41766,0.92376,0.97958,0.9857,0.99425,0.94031,0.97919,0.97945,0.98173,0.88957,0.41012,0.70319,0.12604,0.31443,0.73455,0.0012872,0.0012872,0.0012872
38,97.4014,0.61775,0.72436,0.28324,0.45446,0.94525,0.97896,0.97945,0.98918,0.91614,0.97896,0.97945,0.98183,0.89073,0.49717,0.69747,0.12126,0.36215,0.7604,0.0012674,0.0012674,0.0012674
39,99.8945,0.57665,0.65005,0.26444,0.43529,0.95149,0.97897,0.97945,0.98924,0.92008,0.97897,0.97945,0.98025,0.87148,0.46054,0.69166,0.11638,0.35556,0.74793,0.0012476,0.0012476,0.0012476
40,102.364,0.54651,0.69272,0.27762,0.42407,0.9187,0.97891,0.97945,0.99349,0.93233,0.97891,0.97945,0.97771,0.86836,0.39906,0.73283,0.12046,0.34714,0.73566,0.0012278,0.0012278,0.0012278
41,104.959,0.57716,0.62876,0.2427,0.40213,0.933,0.979,0.97945,0.99332,0.94446,0.979,0.97945,0.97737,0.87308,0.38487,0.69668,0.11731,0.2924,0.72817,0.001208,0.001208,0.001208
42,107.43,0.60094,0.80287,0.30178,0.44697,0.96148,0.97899,0.97945,0.99335,0.94857,0.97899,0.97945,0.9783,0.87828,0.37119,0.69,0.11165,0.28403,0.71057,0.0011882,0.0011882,0.0011882
