epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.51653,2.05361,6.08153,0.70519,2.74929,2.04565,0.88235,0.66832,0.75848,0.46344,0.88235,0.66832,0.68447,0.39745,1.74119,4.10732,0.64213,4.68947,2.00201,0.0005,0.0005,0.0005
2,7.0237,1.57621,2.87875,0.67718,1.37038,1.52996,0.33333,0.73762,0.26733,0.13288,0.17897,0.39604,0.09994,0.02064,1.95238,5.40512,0.52646,10.0709,1.86093,0.00101495,0.00101495,0.00101495
3,10.513,1.34425,2.67449,0.63011,1.31793,1.39039,0.44842,0.33405,0.27694,0.09181,0.43932,0.67327,0.4988,0.25219,2.65262,3.83312,0.43282,3.83598,2.63393,0.00152475,0.00152475,0.00152475
4,13.871,1.33094,2.2463,0.60089,1.22616,1.37699,0.7878,0.59901,0.69597,0.42602,0.73606,0.57921,0.67652,0.29695,1.60007,3.27544,0.39314,1.62494,1.37215,0.0019703,0.0019703,0.0019703
5,17.2501,1.29277,2.01181,0.56932,1.2275,1.31123,0.88723,0.70106,0.7196,0.5224,0.89997,0.71265,0.72245,0.46175,1.16242,2.37865,0.35401,1.81386,1.11125,0.0019604,0.0019604,0.0019604
6,20.7872,1.28401,1.97244,0.57729,1.20592,1.31926,0.86875,0.85196,0.8321,0.62913,0.8738,0.85691,0.82532,0.56758,1.00841,2.13272,0.30283,2.40596,1.03213,0.0019505,0.0019505,0.0019505
7,24.3164,1.02338,2.07704,0.52388,1.01341,1.18975,0.88705,0.66097,0.74461,0.59708,0.88705,0.66097,0.73743,0.39684,0.93271,2.40384,0.2714,1.2195,1.0225,0.0019406,0.0019406,0.0019406
8,27.6514,1.00512,1.97789,0.48741,0.98711,1.15977,0.89994,0.86139,0.87883,0.74723,0.90512,0.86634,0.82625,0.63406,0.74543,2.01008,0.23844,1.05284,0.89574,0.0019307,0.0019307,0.0019307
9,31.1132,0.99051,1.63679,0.52625,0.98883,1.15176,0.8842,0.87129,0.88883,0.7735,0.88744,0.85644,0.83766,0.66632,0.66114,1.83397,0.22713,1.03074,0.81784,0.0019208,0.0019208,0.0019208
10,34.5878,0.87275,1.6417,0.50855,0.87976,1.10968,0.88477,0.86139,0.87674,0.73379,0.88985,0.86634,0.83104,0.65778,0.72859,1.82293,0.21786,0.77262,0.84954,0.0019109,0.0019109,0.0019109
